unique_breed,matching_breed
Border Collie Mix,tier_3
Havanese,tier_1
Standard Poodle,tier_3
Doberman Mix,tier_3
Cavapoo,None
Cairn Terrier,tier_2
German Shepherd Dog,tier_1
Pomeranian,tier_1
Husky,tier_4
Greyhound,tier_1
Dachshund Mix,tier_2
"Welsh Corgi, Pembroke",tier_1
Golden Doodle,tier_4
Labrador / German Shepard Cross,tier_1
Chinese Crested Dog,tier_1
Boxer Mix,tier_4
Great Pyrenees,tier_2
Pomapoo,None
Great Dane,tier_1
Terrier Mix,tier_2
mix,tier_1
Miniature Schnauzer,tier_1
Labradoodle,tier_1
Shih Tzu,tier_1
Maltese,tier_1
Boston Terrier,tier_2
Miniature Golden Doodle,tier_1
Chihuahua,tier_1
Yorkshire Terrier,tier_2
Shorkie (Yorkie/Shih Tzu Mix),tier_1
Golden Retriever,tier_4
Greater Swiss Mountain Dog,tier_2
"Collie, Rough",tier_3
poodle mix,tier_3
Pitbull,tier_4
mutt,tier_1
German Shorthaired Pointer,tier_2
Lab Mix,tier_4
Morkie,tier_1
Siberian Husky,tier_4
King Charles Spaniel,tier_1
Yorkie,tier_1
Maltipoo,None
Toy poodle,tier_3
Sheepdog Mix,tier_1
Bluetick Coonhound,tier_2
Miniature Australian Shepherd,tier_3
Chihuahua mix,tier_1
golden mix,tier_4
Airedale Terrier,tier_2
Australian Sheepdog,tier_3
Goldendoodle,tier_1
Sheltie/Terrier Mix,tier_2
White Lab/Terrier Mix,tier_4
Papillon,tier_1
French Bulldog,tier_1
Chihuahua (long Coat),tier_1
Mixed Breed - Large,tier_1
Australian Shepherd,tier_3
Scottish Terrier,tier_2
Bernese Mountain Dog,tier_1
0.0,tier_1
German Shepherd,tier_1
Chihuahua (smooth Coat),tier_1
Australian Terrier,tier_3
Pitbull X,tier_4
Minature Schnauzer,tier_1
German Wirehaired Pointer,tier_2
Cocker Spaniel X,tier_1
German Shepherd Dog (long Stock),tier_1
Maltese X,tier_1
Tabby,tier_1
Pointer X,tier_2
Belgian Shepherd (malinois),tier_1
Labrador X,tier_4
American Shorthair,tier_2
Schnauzer,tier_1
Mixed Breed - Small,tier_1
English Springer Spaniel,tier_2
Dobermann,None
Chow Chow,tier_2
Jack Russell,tier_1
Miniature Australian Shepard,tier_3
Mixed Breed - Medium,tier_1
Beagle,tier_2
Tibetan Spaniel,tier_1
Bouvier Des Flandres,tier_1
Cavalier King Charles Spaniel,tier_1
German Spitz (klein),tier_1
Bichon X,tier_1
Bull Mastiff,tier_1
Poodle (standard),tier_3
Cocker Spaniel,tier_1
Cavalier King Charles Spaniel X,tier_1
Soft-Coated Wheaten Terrier,tier_2
Labrador,tier_4
Border Collie,tier_3
Poodle (toy),tier_3
Poodle (miniature),tier_3
English Bulldog,tier_2
Portuguese Water Dog,tier_1
Dachshund (long Haired),tier_2
Labrador Retriever,tier_4
Shiba Inu,tier_2
Bull Dog,tier_3
Australian Cattle Dog,tier_3
Pointer,tier_2
Dachshund (min. Long Haired),tier_2
Schnauzer (miniature),tier_1
Miniature Pinscher,tier_1
Samoyed,tier_1
Welsh Corgi (cardigan),tier_2
Norwegian Forest,tier_1
Domestic Short Hair/ Grey,tier_1
Shepherd Mix,tier_1
pit bull,tier_4
yorkie poo,tier_1
Pomeranian/ Red,tier_1
St Bernard,tier_1
Schnauzer/Poodle,tier_1
West Highland White Terrier,tier_2
Rodesian Ridgeback,tier_2
Pit bull mix,tier_4
Boxer,tier_4
aussie/dalmation?,tier_3
Blue Heeler,tier_1
Labrador Retriever Yellow,tier_4
Akita,tier_1
Griffon Bruxellois,tier_1
Siberian Husky/Retriever mix,tier_4
Australian Shepherd Tri Red,tier_3
Pitt bull,tier_1
chihuahua/jack russel mic,tier_1
shih mix,tier_1
Brindle Pit Mix,tier_1
retriever/jack russel mix?,tier_2
chihuahua terrier mix,tier_2
Terrier mix,tier_2
Havanese mix,tier_1
Shih-tzu Red,tier_1
Spaniel Mix/ Brinde w White,tier_1
Labradoodle/ Chocolate,tier_3
Pit/boxer mix,tier_4
Dogue De Bordeaux,tier_1
Pit Bull Mix/ Light Blue Fawn,tier_1
Bullmastiff,tier_2
Schnoodle,None
shihtzu/poodle mix,tier_3
Labrador Retriever Mix,tier_4
Retriever mix,tier_4
Chinese Crested-Hairless,tier_1
Yorkie/Schnauzer,tier_1
Teddybear,None
miniature dachshund,tier_2
Italian Greyhound,tier_1
Jack Russell Terrier,tier_2
Poodle/Terrier Mix,tier_2
Old english bulldog,tier_2
Lab/pit/shepard Mix,tier_4
Miniature Schnauzer Mix,tier_1
Cane Corso,tier_1
Dachshund,tier_2
Lhasa Apso,tier_1
toy poodle,tier_3
Dachshund/Chi Mix,tier_2
lab/pit,tier_4
pit mix,tier_4
coonhound,tier_2
Belgian Malinois,tier_1
Poodle,tier_3
Golden Retriever English Cream,tier_4
cat,tier_1
miniature poodle,tier_3
Great Dane Merle,tier_1
Chinese Crested,tier_1
mini aussie Blck/Wht,tier_1
