uid,breed,ani_age,date,weight,is_medical,product_group,product_name,product_count,wellness_plan,visit_number,visit_more_than_once,max_num_visit,first_visit_spend,total_future_spend
2_1004,Havanese,7.0,2020-04-09,0.0,0,Staff Bath,Basic Bath,0,0,1,0,1,20.0,0.0
2_1012,Standard Poodle,3.0,2020-06-27,0.0,0,Retail,ORIJEN DOG FD BOAR TREAT 3.25 OZ,0,0,1,0,1,38.29,0.0
2_1012,Standard Poodle,3.0,2020-06-27,0.0,0,Retail,Primal Beef Liver Munchies,0,0,1,0,1,38.29,0.0
2_1012,Standard Poodle,3.0,2020-06-27,0.0,0,Retail,Whimzee Veggie Sausage,0,0,1,0,1,38.29,0.0
2_1012,Standard Poodle,3.0,2020-06-27,0.0,0,Retail,Baby Lamb Chop Dog Toy,0,0,1,0,1,38.29,0.0
2_1012,Standard Poodle,3.0,2020-06-27,0.0,0,Retail,Acana Singles Lamb & Apple 3.25oz,0,0,1,0,1,38.29,0.0
2_1060,Doberman Mix,4.0,2020-07-08,0.0,0,Staff Bath,Basic Bath,0,0,1,1,4,230.0,500.0
2_1060,Doberman Mix,4.0,2020-07-08,0.0,0,Boarding,Boarding,0,0,1,1,4,230.0,500.0
2_1078,Cavapoo,4.0,2020-03-12,0.0,0,Boarding,Boarding (Additional Pet),0,4,1,1,21,100.0,2279.0
2_1125,Cairn Terrier,14.0,2020-03-05,0.0,0,Staff Bath,Basic Bath,0,0,1,1,8,190.0,460.0
2_1125,Cairn Terrier,14.0,2020-03-05,0.0,0,Boarding,Boarding,0,0,1,1,8,190.0,460.0
2_1178,German Shepherd Dog,4.0,2020-04-22,0.0,0,Staff Bath,Basic Bath,0,0,1,0,1,255.0,0.0
2_1178,German Shepherd Dog,4.0,2020-04-22,0.0,0,Boarding,2 DOGS 1/2 DAY LATE PICK UP,0,0,1,0,1,255.0,0.0
2_1178,German Shepherd Dog,4.0,2020-04-22,0.0,0,Boarding,Boarding,0,0,1,0,1,255.0,0.0
2_1179,Pomeranian,8.0,2020-04-22,9.0,0,Boarding,Boarding (Additional Pet),0,0,1,1,2,45.0,25.0
2_1179,Pomeranian,8.0,2020-04-22,9.0,0,Staff Bath,Basic Bath,0,0,1,1,2,45.0,25.0
2_1195,Greyhound,8.0,2020-09-11,0.0,1,Parasite Control,Simparica Trio 44.1-88 lbs - per dose,0,0,1,1,13,125.18,1145.14
2_1195,Greyhound,8.0,2020-09-11,0.0,1,Laboratory - In-house,Vetscan Rapid Heartworm Test,0,0,1,1,13,125.18,1145.14
2_1196,Dachshund Mix,11.0,2020-09-14,0.0,1,Vaccinations,Bordetella (Intranasal),1,0,1,0,1,94.25,0.0
2_1196,Dachshund Mix,11.0,2020-09-14,0.0,0,Boarding,First Day Daycare Free 09-14-2020 -> 09-14-2020,1,0,1,0,1,94.25,0.0
2_1196,Dachshund Mix,11.0,2020-09-14,0.0,1,Vaccinations,Canine Rabies (3 year),1,0,1,0,1,94.25,0.0
2_1196,Dachshund Mix,11.0,2020-09-14,0.0,1,Laboratory - In-house,Vetscan Rapid Heartworm Test,1,0,1,0,1,94.25,0.0
2_1196,Dachshund Mix,11.0,2020-09-14,0.0,1,Vaccinations,DHLPP (3 year),1,0,1,0,1,94.25,0.0
2_1199,"Welsh Corgi, Pembroke",7.0,2020-03-04,0.0,0,Staff Bath,Nail Trim,0,0,1,1,3,10.0,147.54
2_1233,Golden Doodle,4.0,2020-03-21,0.0,0,Boarding,Boarding,0,0,1,1,5,40.0,288.49
2_1242,Chinese Crested Dog,11.0,2020-06-19,0.0,0,Boarding,Boarding,0,0,1,1,6,150.0,1107.0
2_1242,Chinese Crested Dog,11.0,2020-06-19,0.0,0,Staff Bath,Basic Bath,0,0,1,1,6,150.0,1107.0
2_1272,Boxer Mix,8.0,2020-03-17,0.0,0,Boarding,Daycare,0,0,1,1,10,25.0,701.44
2_1301,Great Pyrenees,8.0,2020-06-02,0.0,0,Boarding,Boarding,0,0,1,0,1,125.0,0.0
2_1301,Great Pyrenees,8.0,2020-06-02,0.0,0,Boarding,2 DOGS FULL DAY LATE PICK UP,0,0,1,0,1,125.0,0.0
